OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND
"49575","11","0","04","004","2019","03","09","3","2","2","6","0","0","1","0","0","1","0",790510.71311600006,5827472.39262999967,13.28252945100,52.51975732700,"0"
"49582","11","0","03","003","2019","01","17","3","3","5","3","1","1","1","0","0","0","0",798153.56361700001,5836012.72558999900,13.40251013100,52.59218459700,"1"
"49587","11","0","03","003","2019","02","15","4","3","4","6","0","1","0","0","0","0","0",799148.80875700002,5830786.73373000044,13.41244536000,52.54479552900,"0"
"49589","11","0","04","004","2019","03","10","4","3","0","6","0","1","1","0","0","0","0",788846.57697299996,5826110.73417000100,13.25688957300,52.50843364400,"1"
"49596","11","0","07","007","2019","01","12","4","2","5","3","0","0","1","0","0","0","1",797054.73926099995,5816808.28486000001,13.36920032700,52.42063859600,"0"
"49603","11","0","08","008","2019","02","18","6","3","3","6","1","0","1","0","0","1","0",801699.62864000001,5821804.61179000046,13.44180883800,52.46288128500,"0"
"49607","11","0","06","006","2019","01","02","1","3","9","1","2","0","1","0","0","0","0",794257.11711700005,5821457.53861000109,13.33227405400,52.46382870800,"2"
"49610","11","0","03","003","2019","01","21","5","2","0","5","2","0","1","0","1","0","0",799855.22269900003,5830225.51056000032,13.42232471600,52.53937677800,"1"
"49613","11","0","03","003","2019","02","11","6","3","5","3","0","1","1","0","0","0","0",798165.59586200002,5836120.96609999985,13.40278466400,52.59314821500,"0"
"49623","11","0","02","002","2019","02","19","1","3","2","6","2","0","1","0","0","0","0",797759.72017300001,5824117.58913999982,13.38605367800,52.48577572200,"1"
"49625","11","0","03","003","2019","03","17","1","3","2","6","0","0","1","0","0","0","0",800606.50361000001,5829927.69287000038,13.43309934200,52.53629346900,"0"
"49632","11","0","04","004","2019","01","16","2","3","2","6","0","0","1","0","0","0","0",793360.51128300000,5826868.21196999960,13.32387731900,52.51281549200,"0"
"49638","11","0","06","006","2019","02","16","4","3","2","6","0","0","1","0","0","0","0",789805.67318699998,5817996.93247000035,13.26393265700,52.43518240700,"0"
"49644","11","0","07","007","2019","01","19","5","3","2","6","2","0","1","0","0","0","0",798247.07701100002,5818690.61493000109,13.38836064500,52.43686318400,"1"
"49650","11","0","05","005","2019","02","18","5","3","2","6","2","0","1","0","0","0","0",785413.32342499995,5826207.64513000101,13.20652400800,52.51110967400,"1"
"49654","11","0","12","012","2019","01","21","7","3","3","6","2","0","1","0","1","0","0",793415.65657600004,5836179.16115999967,13.33291735000,52.59625327400,"0"
"49657","11","0","07","007","2019","01","18","5","2","6","4","2","0","1","1","0","0","0",795409.39845500002,5823400.76838999894,13.35090668200,52.48062668600,"1"
"49660","11","0","09","009","2019","02","18","5","3","5","2","2","1","1","0","0","0","0",806524.05347200006,5821210.68917999975,13.51205438600,52.45487358400,"0"
"49669","11","0","03","003","2019","02","05","6","3","6","2","2","0","1","1","0","0","0",801520.66759700002,5831177.58524999954,13.44767097800,52.54699132100,"0"
"49671","11","0","01","001","2019","03","22","7","3","2","2","2","0","1","0","0","0","0",796420.40266200004,5826328.37559000030,13.36835497900,52.50632214200,"0"
"49675","11","0","01","001","2019","02","06","4","2","5","3","1","0","1","0","0","0","1",795879.05695300002,5832057.27046999894,13.36550170500,52.55797019300,"0"
"49679","11","0","01","001","2019","01","02","1","2","6","4","2","0","1","1","0","0","0",799346.08404300001,5827965.92870999966,13.41280557600,52.51940302300,"1"
"49685","11","0","01","001","2019","02","11","2","3","3","6","0","1","0","0","0","1","0",797686.56938200002,5826838.68022000045,13.38741155800,52.51020703800,"0"
"49694","11","0","04","004","2019","02","23","2","3","3","6","2","0","1","0","0","0","0",792627.29208299995,5823373.06654999964,13.31003293500,52.48187631700,"0"
"49697","11","0","10","010","2019","03","11","6","3","5","3","0","1","1","0","0","0","0",812564.84693200001,5827180.93221000023,13.60626264500,52.50495353000,"1"
"49704","11","0","01","001","2019","01","14","4","3","2","6","0","0","1","0","0","0","0",796677.75274699996,5826255.04667999968,13.37207021500,52.50552494100,"0"
"49707","11","0","07","007","2019","02","18","4","3","6","7","1","1","0","1","0","0","0",797835.82539400004,5822235.16215999983,13.38548993700,52.46886038000,"0"
"49710","11","0","04","004","2019","03","10","7","3","2","6","0","0","1","0","0","0","0",790663.89586699998,5824994.82593000028,13.28261721300,52.49746420900,"1"
"49718","11","0","02","002","2019","01","07","5","3","1","5","0","0","1","1","0","0","0",803287.35443399998,5827630.90342000034,13.47040942800,52.51422267400,"0"
"49720","11","0","06","006","2019","02","14","5","3","2","6","0","0","1","0","0","0","0",793522.40298699995,5820378.91017000098,13.32054209500,52.45455432600,"0"
"49724","11","0","04","004","2019","02","14","3","3","5","3","0","0","1","0","0","0","0",787863.41487099999,5825952.01023999974,13.24230614200,52.50753029200,"0"
"49728","11","0","04","004","2019","01","13","3","3","2","6","0","0","1","0","0","1","0",790535.64592699998,5828603.84932999965,13.28388441800,52.52988757600,"0"
"49733","11","0","07","007","2019","02","18","1","3","2","6","2","0","1","0","0","0","0",795676.15313200001,5823968.19307999965,13.35532650200,52.48556884600,"0"
"49742","11","0","12","012","2019","02","11","5","3","2","2","0","0","1","0","0","0","0",791785.92862799997,5839413.61498999968,13.31177768900,52.62612566100,"0"
"49744","11","0","09","009","2019","03","06","5","3","2","6","0","0","0","0","0","1","0",805703.94193900004,5818830.73924000002,13.49784532800,52.43400244100,"1"
"49751","11","0","07","007","2019","01","13","4","3","2","6","0","0","1","0","0","0","0",796595.93638299999,5815991.63545999955,13.36174955200,52.41356679100,"0"
"49758","11","0","07","007","2019","02","14","7","3","0","1","0","0","0","0","1","0","0",795102.06985400000,5823020.83332000021,13.34605813000,52.47738698200,"0"
"49762","11","0","01","001","2019","01","16","1","3","2","6","2","0","1","0","0","0","0",796286.06939700001,5830278.27029999997,13.36990058200,52.54180203600,"0"
"49767","11","0","02","002","2019","02","15","6","2","0","1","0","1","0","0","0","0","0",802148.99304199999,5827725.84518000018,13.45377155100,52.51570542700,"0"
"49772","11","0","03","003","2019","02","08","1","3","0","7","0","0","1","0","0","0","0",800835.23912200006,5829741.57380000036,13.43629309100,52.53449904100,"0"
"49776","11","0","10","010","2019","01","14","2","3","2","6","0","0","1","0","0","0","0",813816.07178799994,5827138.75062999967,13.62459704200,52.50385738700,"1"
"49782","11","0","03","003","2019","02","10","7","2","9","1","0","0","1","0","0","0","0",799195.28952899994,5831415.73948999960,13.41369541000,52.55040806000,"0"
